,nir,asn_registry,asn,asn_cidr,asn_country_code,asn_date,asn_description,query,network,entities,objects,raw
0,,arin,16509,54.183.128.0/17,US,2014-10-23,"AMAZON-02, US",54.183.142.105,"{'handle': 'NET-54-144-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/54.144.0.0', 'https://whois.arin.net/rest/net/NET-54-144-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2021-02-10T09:46:13-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '2014-10-23T00:00:00-04:00', 'actor': None}], 'raw': None, 'start_address': '54.144.0.0', 'end_address': '54.221.255.255', 'cidr': '54.144.0.0/12, 54.160.0.0/11, 54.192.0.0/12, 54.208.0.0/13, 54.216.0.0/14, 54.220.0.0/15', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'AMAZON', 'country': None, 'parent_handle': 'NET-54-0-0-0-0'}",['AT-88-Z'],"{'AT-88-Z': {'handle': 'AT-88-Z', 'status': None, 'remarks': [{'title': 'Registration Comments', 'description': 'All abuse reports MUST include:\r\n* src IP\r\n* dest IP (your IP)\r\n* dest port\r\n* Accurate date/timestamp and timezone of activity\r\n* Intensity/frequency (short log extracts)\r\n* Your contact details (phone and email) Without these we will be unable to identify the correct owner of the IP address at that point in time.', 'links': None}], 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AT-88-Z', 'https://whois.arin.net/rest/org/AT-88-Z'], 'events': [{'action': 'last changed', 'timestamp': '2020-03-31T09:49:42-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2011-12-08T13:34:25-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Amazon Technologies Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '410 Terry Ave N.\nSeattle\nWA\n98109\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPROU3-ARIN', 'ADR29-ARIN', 'AEA8-ARIN', 'ANO24-ARIN', 'AANO1-ARIN', 'IPMAN40-ARIN']}}",
1,,arin,16509,13.56.0.0/16,US,2020-08-05,"AMAZON-02, US",13.56.121.58,"{'handle': 'NET-13-24-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/13.24.0.0', 'https://whois.arin.net/rest/net/NET-13-24-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2021-02-10T09:46:02-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '2020-08-05T16:56:41-04:00', 'actor': None}], 'raw': None, 'start_address': '13.24.0.0', 'end_address': '13.59.255.255', 'cidr': '13.24.0.0/13, 13.32.0.0/12, 13.48.0.0/13, 13.56.0.0/14', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'AT-88-Z', 'country': None, 'parent_handle': 'NET-13-0-0-0-0'}",['AT-88-Z'],"{'AT-88-Z': {'handle': 'AT-88-Z', 'status': None, 'remarks': [{'title': 'Registration Comments', 'description': 'All abuse reports MUST include:\r\n* src IP\r\n* dest IP (your IP)\r\n* dest port\r\n* Accurate date/timestamp and timezone of activity\r\n* Intensity/frequency (short log extracts)\r\n* Your contact details (phone and email) Without these we will be unable to identify the correct owner of the IP address at that point in time.', 'links': None}], 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AT-88-Z', 'https://whois.arin.net/rest/org/AT-88-Z'], 'events': [{'action': 'last changed', 'timestamp': '2020-03-31T09:49:42-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2011-12-08T13:34:25-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Amazon Technologies Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '410 Terry Ave N.\nSeattle\nWA\n98109\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPROU3-ARIN', 'ADR29-ARIN', 'AEA8-ARIN', 'ANO24-ARIN', 'AANO1-ARIN', 'IPMAN40-ARIN']}}",
2,,arin,3491,23.60.128.0/20,US,2011-05-16,"BTN-ASN, US",23.60.139.27,"{'handle': 'NET-23-32-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/23.32.0.0', 'https://whois.arin.net/rest/net/NET-23-32-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2012-03-02T08:03:18-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '2011-05-16T15:49:09-04:00', 'actor': None}], 'raw': None, 'start_address': '23.32.0.0', 'end_address': '23.67.255.255', 'cidr': '23.32.0.0/11, 23.64.0.0/14', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'AKAMAI', 'country': None, 'parent_handle': 'NET-23-0-0-0-0'}",['AKAMAI'],"{'AKAMAI': {'handle': 'AKAMAI', 'status': None, 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AKAMAI', 'https://whois.arin.net/rest/org/AKAMAI'], 'events': [{'action': 'last changed', 'timestamp': '2020-08-26T02:42:25-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '1999-01-21T00:00:00-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Akamai Technologies, Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '145 Broadway\nCambridge\nMA\n02142\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPADM11-ARIN', 'YKS-ARIN', 'SJS98-ARIN', 'NUS-ARIN']}}",
3,,arin,209,65.128.0.0/11,US,2000-08-23,"CENTURYLINK-US-LEGACY-QWEST, US",65.153.18.18,"{'handle': 'NET-65-153-18-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/65.153.18.0', 'https://whois.arin.net/rest/net/NET-65-153-18-0-1', 'https://rdap.arin.net/registry/ip/65.128.0.0/11'], 'events': [{'action': 'last changed', 'timestamp': '2016-05-10T15:29:03-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2016-05-10T15:29:03-04:00', 'actor': None}], 'raw': None, 'start_address': '65.153.18.0', 'end_address': '65.153.18.255', 'cidr': '65.153.18.0/24', 'ip_version': 'v4', 'type': 'ASSIGNMENT', 'name': 'Q0510-65-153-18-0', 'country': None, 'parent_handle': 'NET-65-128-0-0-1'}",['AKAMAI'],"{'AKAMAI': {'handle': 'AKAMAI', 'status': None, 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AKAMAI', 'https://whois.arin.net/rest/org/AKAMAI'], 'events': [{'action': 'last changed', 'timestamp': '2020-08-26T02:42:25-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '1999-01-21T00:00:00-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Akamai Technologies, Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '145 Broadway\nCambridge\nMA\n02142\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPADM11-ARIN', 'YKS-ARIN', 'SJS98-ARIN', 'NUS-ARIN']}}",
4,,arin,3356,8.240.0.0/12,US,1992-12-01,"LEVEL3, US",8.253.135.105,"{'handle': 'NET-8-224-0-0-2', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/8.224.0.0', 'https://whois.arin.net/rest/net/NET-8-224-0-0-2'], 'events': [{'action': 'last changed', 'timestamp': '2018-04-23T14:32:52-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '1992-12-01T00:00:00-05:00', 'actor': None}], 'raw': None, 'start_address': '8.224.0.0', 'end_address': '8.255.255.255', 'cidr': '8.224.0.0/11', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'LVLT-ORG-8-8', 'country': None, 'parent_handle': 'NET-8-0-0-0-0'}",['LPL-141'],"{'LPL-141': {'handle': 'LPL-141', 'status': None, 'remarks': [{'title': 'Registration Comments', 'description': ""ADDRESSES WITHIN THIS BLOCK ARE NON-PORTABLE ANY ISP ANNOUNCING PORTIONS WITHIN OUR RANGES SHOULD NOT RELY ON PRESENTED LOA'S UNLESS THOSE RANGES ARE ALSO ANNOUNCED TO A CENTURYLINK ASN.\n\nAll abuse reports MUST include: \n* src IP \n* dest IP (your IP) \n* dest port \n* Accurate date/timestamp and timezone of activity \n* Intensity/frequency (short log extracts) \n* Your contact details (phone and email) \nWithout these we will be unable to identify the correct owner of the IP address at that point in time.\n\nFor subpoena or court order please fax 844.254.5800 or refer to our Law Enforcement Support page:\n\nhttps://www.centurylink.com/aboutus/legal/privacy-notice/law-enforcement-support.html"", 'links': None}], 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/LPL-141', 'https://whois.arin.net/rest/org/LPL-141'], 'events': [{'action': 'last changed', 'timestamp': '2021-03-11T16:46:22-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '2018-02-06T12:45:14-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Level 3 Parent, LLC', 'kind': 'org', 'address': [{'type': None, 'value': '100 CenturyLink Drive\nMonroe\nLA\n71203\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['LAC56-ARIN', 'APL7-ARIN', 'IPADD5-ARIN']}}",
5,,arin,NA,NA,US,1992-05-06,NA,159.165.56.240,"{'handle': 'NET-159-165-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/159.165.0.0', 'https://whois.arin.net/rest/net/NET-159-165-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2019-09-09T11:18:07-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '1992-05-06T00:00:00-04:00', 'actor': None}], 'raw': None, 'start_address': '159.165.0.0', 'end_address': '159.165.255.255', 'cidr': '159.165.0.0/16', 'ip_version': 'v4', 'type': 'DIRECT ASSIGNMENT', 'name': 'DELTA', 'country': None, 'parent_handle': 'NET-159-0-0-0-0'}","['DAL-Z', 'ERL9-ARIN', 'KEELI35-ARIN', 'RLS134-ARIN', 'SOC21-ARIN']","{'DAL-Z': {'handle': 'DAL-Z', 'status': None, 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/DAL-Z', 'https://whois.arin.net/rest/org/DAL-Z'], 'events': [{'action': 'last changed', 'timestamp': '2020-09-14T10:12:29-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2009-03-04T09:13:49-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Delta Air Lines', 'kind': 'org', 'address': [{'type': None, 'value': 'AA - Department #694\nP.O. Box 20706\nAtlanta\nGA\n30320-6001\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['KEELI35-ARIN', 'ERL9-ARIN', 'RLS134-ARIN', 'HELGE6-ARIN', 'SOC21-ARIN', 'DA19-ORG-ARIN']}, 'ERL9-ARIN': {'handle': 'ERL9-ARIN', 'status': ['validated'], 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/ERL9-ARIN', 'https://whois.arin.net/rest/poc/ERL9-ARIN'], 'events': [{'action': 'last changed', 'timestamp': '2019-09-09T11:11:08-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2019-09-09T11:11:08-04:00', 'actor': None}], 'raw': None, 'roles': ['technical'], 'contact': {'name': 'Edward Robert Lane', 'kind': 'individual', 'address': [{'type': None, 'value': '1500 Tower View Road\nEagan\nMN\n55121\nUnited States'}], 'phone': [{'type': ['work', 'voice'], 'value': '+1-612-266-5183'}], 'email': [{'type': None, 'value': 'edward.r.lane@delta.com'}], 'role': None, 'title': None}, 'events_actor': None, 'entities': None}, 'KEELI35-ARIN': {'handle': 'KEELI35-ARIN', 'status': ['validated'], 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/KEELI35-ARIN', 'https://whois.arin.net/rest/poc/KEELI35-ARIN'], 'events': [{'action': 'last changed', 'timestamp': '2019-09-06T17:50:43-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2019-09-06T17:50:43-04:00', 'actor': None}], 'raw': None, 'roles': ['technical'], 'contact': {'name': 'James Keeling', 'kind': 'individual', 'address': [{'type': None, 'value': '1500 Towerview Rd\nEagan\nMN\n55121\nUnited States'}], 'phone': [{'type': ['work', 'voice'], 'value': '+1-612-266-3729;ext817'}], 'email': [{'type': None, 'value': 'james.keeling@delta.com'}], 'role': None, 'title': None}, 'events_actor': None, 'entities': None}, 'RLS134-ARIN': {'handle': 'RLS134-ARIN', 'status': ['validated'], 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/RLS134-ARIN', 'https://whois.arin.net/rest/poc/RLS134-ARIN'], 'events': [{'action': 'last changed', 'timestamp': '2021-02-08T13:11:41-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '2019-02-07T13:25:59-05:00', 'actor': None}], 'raw': None, 'roles': ['technical'], 'contact': {'name': 'Richard L Silver', 'kind': 'individual', 'address': [{'type': None, 'value': '1030 Delta Boulevard\nAtlanta\nGA\n30354\nUnited States'}], 'phone': [{'type': ['work', 'voice'], 'value': '+1-404-715-3629'}], 'email': [{'type': None, 'value': 'richard.silver@delta.com'}], 'role': None, 'title': None}, 'events_actor': None, 'entities': None}, 'SOC21-ARIN': {'handle': 'SOC21-ARIN', 'status': ['validated'], 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/SOC21-ARIN', 'https://whois.arin.net/rest/poc/SOC21-ARIN'], 'events': [{'action': 'last changed', 'timestamp': '2020-06-03T12:20:51-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2007-11-14T15:24:13-05:00', 'actor': None}], 'raw': None, 'roles': ['abuse', 'noc'], 'contact': {'name': 'Security Operations Center', 'kind': 'group', 'address': [{'type': None, 'value': '1030 Delta Blvd.\nAtlanta\nGA\n30354-1989\nUnited States'}], 'phone': [{'type': ['work', 'voice'], 'value': '+1-404-677-7762'}], 'email': [{'type': None, 'value': 'abuse@delta.com'}], 'role': None, 'title': None}, 'events_actor': None, 'entities': None}}",
6,,arin,20940,23.223.200.0/23,US,2013-07-12,"AKAMAI-ASN1, NL",23.223.200.179,"{'handle': 'NET-23-192-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/23.192.0.0', 'https://whois.arin.net/rest/net/NET-23-192-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2013-08-09T16:47:01-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2013-07-12T13:03:37-04:00', 'actor': None}], 'raw': None, 'start_address': '23.192.0.0', 'end_address': '23.223.255.255', 'cidr': '23.192.0.0/11', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'AKAMAI', 'country': None, 'parent_handle': 'NET-23-0-0-0-0'}",['AKAMAI'],"{'AKAMAI': {'handle': 'AKAMAI', 'status': None, 'remarks': None, 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AKAMAI', 'https://whois.arin.net/rest/org/AKAMAI'], 'events': [{'action': 'last changed', 'timestamp': '2020-08-26T02:42:25-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '1999-01-21T00:00:00-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Akamai Technologies, Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '145 Broadway\nCambridge\nMA\n02142\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPADM11-ARIN', 'YKS-ARIN', 'SJS98-ARIN', 'NUS-ARIN']}}",
7,,arin,14618,18.232.0.0/14,US,2019-10-07,"AMAZON-AES, US",18.235.98.173,"{'handle': 'NET-18-32-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/18.32.0.0', 'https://whois.arin.net/rest/net/NET-18-32-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2021-02-10T09:46:08-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '2019-10-07T13:34:55-04:00', 'actor': None}], 'raw': None, 'start_address': '18.32.0.0', 'end_address': '18.255.255.255', 'cidr': '18.32.0.0/11, 18.64.0.0/10, 18.128.0.0/9', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'AT-88-Z', 'country': None, 'parent_handle': 'NET-18-0-0-0-0'}",['AT-88-Z'],"{'AT-88-Z': {'handle': 'AT-88-Z', 'status': None, 'remarks': [{'title': 'Registration Comments', 'description': 'All abuse reports MUST include:\r\n* src IP\r\n* dest IP (your IP)\r\n* dest port\r\n* Accurate date/timestamp and timezone of activity\r\n* Intensity/frequency (short log extracts)\r\n* Your contact details (phone and email) Without these we will be unable to identify the correct owner of the IP address at that point in time.', 'links': None}], 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AT-88-Z', 'https://whois.arin.net/rest/org/AT-88-Z'], 'events': [{'action': 'last changed', 'timestamp': '2020-03-31T09:49:42-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2011-12-08T13:34:25-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Amazon Technologies Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '410 Terry Ave N.\nSeattle\nWA\n98109\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPROU3-ARIN', 'ADR29-ARIN', 'AEA8-ARIN', 'ANO24-ARIN', 'AANO1-ARIN', 'IPMAN40-ARIN']}}",
8,,arin,8068,13.107.4.0/24,US,2015-03-26,"MICROSOFT-CORP-MSN-AS-BLOCK, US",13.107.4.50,"{'handle': 'NET-13-64-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/13.64.0.0', 'https://whois.arin.net/rest/net/NET-13-64-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2015-03-26T13:58:18-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2015-03-26T13:58:18-04:00', 'actor': None}], 'raw': None, 'start_address': '13.64.0.0', 'end_address': '13.107.255.255', 'cidr': '13.64.0.0/11, 13.96.0.0/13, 13.104.0.0/14', 'ip_version': 'v4', 'type': 'DIRECT ASSIGNMENT', 'name': 'MSFT', 'country': None, 'parent_handle': 'NET-13-0-0-0-0'}",['MSFT'],"{'MSFT': {'handle': 'MSFT', 'status': None, 'remarks': [{'title': 'Registration Comments', 'description': 'To report suspected security issues specific to traffic emanating from Microsoft online services, including the distribution of malicious content or other illicit or illegal material through a Microsoft online service, please submit reports to:\r\n* https://cert.microsoft.com.  \r\n\r\nFor SPAM and other abuse issues, such as Microsoft Accounts, please contact:\r\n* abuse@microsoft.com.  \r\n\r\nTo report security vulnerabilities in Microsoft products and services, please contact:\r\n* secure@microsoft.com.  \r\n\r\nFor legal and law enforcement-related requests, please contact:\r\n* msndcc@microsoft.com\r\n\r\nFor routing, peering or DNS issues, please \r\ncontact:\r\n* IOC@microsoft.com', 'links': None}], 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/MSFT', 'https://whois.arin.net/rest/org/MSFT'], 'events': [{'action': 'last changed', 'timestamp': '2017-01-28T08:32:29-05:00', 'actor': None}, {'action': 'registration', 'timestamp': '1998-07-10T00:00:00-04:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Microsoft Corporation', 'kind': 'org', 'address': [{'type': None, 'value': 'One Microsoft Way\nRedmond\nWA\n98052\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['MRPD-ARIN', 'MAC74-ARIN', 'QUAMA-ARIN']}}",
9,,arin,14618,52.200.0.0/13,US,2015-09-02,"AMAZON-AES, US",52.203.172.172,"{'handle': 'NET-52-192-0-0-1', 'status': ['active'], 'remarks': None, 'notices': [{'title': 'Terms of Service', 'description': 'By using the ARIN RDAP/Whois service, you are agreeing to the RDAP/Whois Terms of Use', 'links': ['https://www.arin.net/resources/registry/whois/tou/']}, {'title': 'Whois Inaccuracy Reporting', 'description': 'If you see inaccuracies in the results, please visit: ', 'links': ['https://www.arin.net/resources/registry/whois/inaccuracy_reporting/']}, {'title': 'Copyright Notice', 'description': 'Copyright 1997-2021, American Registry for Internet Numbers, Ltd.', 'links': None}], 'links': ['https://rdap.arin.net/registry/ip/52.192.0.0', 'https://whois.arin.net/rest/net/NET-52-192-0-0-1'], 'events': [{'action': 'last changed', 'timestamp': '2020-09-24T12:40:30-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2015-09-02T14:06:36-04:00', 'actor': None}], 'raw': None, 'start_address': '52.192.0.0', 'end_address': '52.223.191.255', 'cidr': '52.192.0.0/12, 52.208.0.0/13, 52.216.0.0/14, 52.220.0.0/15, 52.222.0.0/16, 52.223.0.0/17, 52.223.128.0/18', 'ip_version': 'v4', 'type': 'DIRECT ALLOCATION', 'name': 'AT-88-Z', 'country': None, 'parent_handle': 'NET-52-0-0-0-0'}",['AT-88-Z'],"{'AT-88-Z': {'handle': 'AT-88-Z', 'status': None, 'remarks': [{'title': 'Registration Comments', 'description': 'All abuse reports MUST include:\r\n* src IP\r\n* dest IP (your IP)\r\n* dest port\r\n* Accurate date/timestamp and timezone of activity\r\n* Intensity/frequency (short log extracts)\r\n* Your contact details (phone and email) Without these we will be unable to identify the correct owner of the IP address at that point in time.', 'links': None}], 'notices': None, 'links': ['https://rdap.arin.net/registry/entity/AT-88-Z', 'https://whois.arin.net/rest/org/AT-88-Z'], 'events': [{'action': 'last changed', 'timestamp': '2020-03-31T09:49:42-04:00', 'actor': None}, {'action': 'registration', 'timestamp': '2011-12-08T13:34:25-05:00', 'actor': None}], 'raw': None, 'roles': ['registrant'], 'contact': {'name': 'Amazon Technologies Inc.', 'kind': 'org', 'address': [{'type': None, 'value': '410 Terry Ave N.\nSeattle\nWA\n98109\nUnited States'}], 'phone': None, 'email': None, 'role': None, 'title': None}, 'events_actor': None, 'entities': ['IPROU3-ARIN', 'ADR29-ARIN', 'AEA8-ARIN', 'ANO24-ARIN', 'AANO1-ARIN', 'IPMAN40-ARIN']}}",
