IP,whois_name,whois_handle,whois_range,whois_description,whois_country,whois_state,whois_city,whois_address,whois_postal_code,whois_emails,whois_created,whois_updated,whois_filter
64.39.96.0/20,QUALYS,NET-64-39-96-0-1,64.39.96.0 - 64.39.111.255,"QUALYS, Inc.",US,CA,FOSTER CITY,"919 E. Hillsdale Blvd, 4th Floor",94404,"['domain-admin@qualys.com', 'manager-it@qualys.com']",2006-05-30,2012-02-24,QUALYS
52.148.0.0/14,MSFT,NET-52-145-0-0-1,52.145.0.0 - 52.191.255.255,Microsoft Corporation,US,WA,Redmond,One Microsoft Way,98052,"['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com']",2015-11-24,2015-11-24,Microsoft Corporation
52.145.0.0/16,MSFT,NET-52-145-0-0-1,52.145.0.0 - 52.191.255.255,Microsoft Corporation,US,WA,Redmond,One Microsoft Way,98052,"['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com']",2015-11-24,2015-11-24,Microsoft Corporation
52.152.0.0/13,MSFT,NET-52-145-0-0-1,52.145.0.0 - 52.191.255.255,Microsoft Corporation,US,WA,Redmond,One Microsoft Way,98052,"['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com']",2015-11-24,2015-11-24,Microsoft Corporation
52.146.0.0/15,MSFT,NET-52-145-0-0-1,52.145.0.0 - 52.191.255.255,Microsoft Corporation,US,WA,Redmond,One Microsoft Way,98052,"['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com']",2015-11-24,2015-11-24,Microsoft Corporation
52.160.0.0/11,MSFT,NET-52-145-0-0-1,52.145.0.0 - 52.191.255.255,Microsoft Corporation,US,WA,Redmond,One Microsoft Way,98052,"['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com']",2015-11-24,2015-11-24,Microsoft Corporation
54.144.0.0/12,AMAZON,NET-54-144-0-0-1,54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,US,WA,Seattle,410 Terry Ave N.,98109,"['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com']",2014-10-23,2021-02-10,Amazon Technologies Inc.
54.160.0.0/11,AMAZON,NET-54-144-0-0-1,54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,US,WA,Seattle,410 Terry Ave N.,98109,"['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com']",2014-10-23,2021-02-10,Amazon Technologies Inc.
54.192.0.0/12,AMAZON,NET-54-144-0-0-1,54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,US,WA,Seattle,410 Terry Ave N.,98109,"['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com']",2014-10-23,2021-02-10,Amazon Technologies Inc.
54.208.0.0/13,AMAZON,NET-54-144-0-0-1,54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,US,WA,Seattle,410 Terry Ave N.,98109,"['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com']",2014-10-23,2021-02-10,Amazon Technologies Inc.
54.220.0.0/15,AMAZON,NET-54-144-0-0-1,54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,US,WA,Seattle,410 Terry Ave N.,98109,"['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com']",2014-10-23,2021-02-10,Amazon Technologies Inc.
54.216.0.0/14,AMAZON,NET-54-144-0-0-1,54.144.0.0 - 54.221.255.255,Amazon Technologies Inc.,US,WA,Seattle,410 Terry Ave N.,98109,"['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com']",2014-10-23,2021-02-10,Amazon Technologies Inc.
8.224.0.0/11,LVLT-ORG-8-8,NET-8-224-0-0-2,8.224.0.0 - 8.255.255.255,"Level 3 Parent, LLC",US,LA,Monroe,100 CenturyLink Drive,71203,"['ipaddressing@level3.com', 'abuse@level3.com']",1992-12-01,2018-04-23,Level 3 Parent
