,nir,asn_registry,asn,asn_cidr,asn_country_code,asn_date,asn_description,query,nets,raw,referral,raw_referral
0,,arin,27385,64.39.104.0/24,US,2006-05-30,"QUALYS, US",64.39.104.103,"[{'cidr': '64.39.96.0/20', 'name': 'QUALYS', 'handle': 'NET-64-39-96-0-1', 'range': '64.39.96.0 - 64.39.111.255', 'description': 'QUALYS, Inc.', 'country': 'US', 'state': 'CA', 'city': 'FOSTER CITY', 'address': '919 E. Hillsdale Blvd, 4th Floor', 'postal_code': '94404', 'emails': ['domain-admin@qualys.com', 'manager-it@qualys.com'], 'created': '2006-05-30', 'updated': '2012-02-24'}]",,,
1,,arin,8075,52.160.0.0/11,US,2015-11-24,"MICROSOFT-CORP-MSN-AS-BLOCK, US",52.167.17.97,"[{'cidr': '52.148.0.0/14, 52.145.0.0/16, 52.152.0.0/13, 52.146.0.0/15, 52.160.0.0/11', 'name': 'MSFT', 'handle': 'NET-52-145-0-0-1', 'range': '52.145.0.0 - 52.191.255.255', 'description': 'Microsoft Corporation', 'country': 'US', 'state': 'WA', 'city': 'Redmond', 'address': 'One Microsoft Way', 'postal_code': '98052', 'emails': ['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com'], 'created': '2015-11-24', 'updated': '2015-11-24'}]",,,
2,,arin,16509,54.183.128.0/17,US,2014-10-23,"AMAZON-02, US",54.183.142.105,"[{'cidr': '54.144.0.0/12, 54.160.0.0/11, 54.192.0.0/12, 54.208.0.0/13, 54.220.0.0/15, 54.216.0.0/14', 'name': 'AMAZON', 'handle': 'NET-54-144-0-0-1', 'range': '54.144.0.0 - 54.221.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['aws-routing-poc@amazon.com', 'abuse@amazonaws.com', 'amzn-noc-contact@amazon.com', 'aws-dogfish-routing-poc@amazon.com'], 'created': '2014-10-23', 'updated': '2021-02-10'}]",,,
3,,arin,3356,8.240.0.0/12,US,1992-12-01,"LEVEL3, US",8.253.146.120,"[{'cidr': '8.224.0.0/11', 'name': 'LVLT-ORG-8-8', 'handle': 'NET-8-224-0-0-2', 'range': '8.224.0.0 - 8.255.255.255', 'description': 'Level 3 Parent, LLC', 'country': 'US', 'state': 'LA', 'city': 'Monroe', 'address': '100 CenturyLink Drive', 'postal_code': '71203', 'emails': ['ipaddressing@level3.com', 'abuse@level3.com'], 'created': '1992-12-01', 'updated': '2018-04-23'}]",,,
4,,arin,15133,72.21.81.0/24,US,2007-04-23,"EDGECAST, US",72.21.81.200,"[{'cidr': '72.21.80.0/20', 'name': 'EDGECAST-NETBLK-01', 'handle': 'NET-72-21-80-0-1', 'range': '72.21.80.0 - 72.21.95.255', 'description': 'MCI Communications Services, Inc. d/b/a Verizon Business', 'country': 'US', 'state': 'VA', 'city': 'Ashburn', 'address': '22001 Loudoun County Pkwy', 'postal_code': '20147', 'emails': ['abuse@verizondigitalmedia.com', 'swipper@verizonbusiness.com', 'brant.brockdorff@verizon.com', 'abuse@verizon.net', 'abuse-mail@verizonbusiness.com', 'swipper@verizon.com'], 'created': '2007-04-23', 'updated': '2017-12-01'}]",,,
5,,arin,209,65.128.0.0/11,US,2000-08-23,"CENTURYLINK-US-LEGACY-QWEST, US",65.153.18.18,"[{'cidr': '65.128.0.0/11', 'name': 'CENTURYLINK-LEGACY-QWEST-INET-18', 'handle': 'NET-65-128-0-0-1', 'range': '65.128.0.0 - 65.159.255.255', 'description': 'CenturyLink Communications, LLC', 'country': 'US', 'state': 'LA', 'city': 'Monroe', 'address': '100 CENTURYLINK DR', 'postal_code': '71201', 'emails': ['abuse@centurylinkservices.net', 'ipadmin@centurylink.com'], 'created': '2000-08-23', 'updated': '2018-02-21'}, {'cidr': '65.153.18.0/24', 'name': 'Q0510-65-153-18-0', 'handle': 'NET-65-153-18-0-1', 'range': None, 'description': 'Akamai Technologies, Inc.', 'country': 'US', 'state': 'MA', 'city': 'Cambridge', 'address': '145 Broadway', 'postal_code': '02142', 'emails': ['ip-admin@akamai.com', 'abuse@akamai.com'], 'created': '2016-05-10', 'updated': '2016-05-10'}]",,,
6,,arin,3491,23.60.128.0/20,US,2011-05-16,"BTN-ASN, US",23.60.139.27,"[{'cidr': '23.32.0.0/11, 23.64.0.0/14', 'name': 'AKAMAI', 'handle': 'NET-23-32-0-0-1', 'range': '23.32.0.0 - 23.67.255.255', 'description': 'Akamai Technologies, Inc.', 'country': 'US', 'state': 'MA', 'city': 'Cambridge', 'address': '145 Broadway', 'postal_code': '02142', 'emails': ['ip-admin@akamai.com', 'abuse@akamai.com'], 'created': '2011-05-16', 'updated': '2012-03-02'}]",,,
7,,arin,16509,52.8.0.0/16,US,1991-12-19,"AMAZON-02, US",52.8.141.1,"[{'cidr': '52.64.0.0/12, 52.0.0.0/10', 'name': 'AT-88-Z', 'handle': 'NET-52-0-0-0-1', 'range': '52.0.0.0 - 52.79.255.255', 'description': 'Amazon Technologies Inc.', 'country': 'US', 'state': 'WA', 'city': 'Seattle', 'address': '410 Terry Ave N.', 'postal_code': '98109', 'emails': ['amzn-noc-contact@amazon.com', 'abuse@amazonaws.com', 'aws-dogfish-routing-poc@amazon.com', 'aws-routing-poc@amazon.com'], 'created': '1991-12-19', 'updated': '2021-02-10'}]",,,
8,,arin,8068,13.107.4.0/24,US,2015-03-26,"MICROSOFT-CORP-MSN-AS-BLOCK, US",13.107.4.50,"[{'cidr': '13.96.0.0/13, 13.64.0.0/11, 13.104.0.0/14', 'name': 'MSFT', 'handle': 'NET-13-64-0-0-1', 'range': '13.64.0.0 - 13.107.255.255', 'description': 'Microsoft Corporation', 'country': 'US', 'state': 'WA', 'city': 'Redmond', 'address': 'One Microsoft Way', 'postal_code': '98052', 'emails': ['msndcc@microsoft.com', 'IOC@microsoft.com', 'abuse@microsoft.com'], 'created': '2015-03-26', 'updated': '2015-03-26'}]",,,
9,,arin,20940,23.223.200.0/23,US,2013-07-12,"AKAMAI-ASN1, NL",23.223.200.179,"[{'cidr': '23.192.0.0/11', 'name': 'AKAMAI', 'handle': 'NET-23-192-0-0-1', 'range': '23.192.0.0 - 23.223.255.255', 'description': 'Akamai Technologies, Inc.', 'country': 'US', 'state': 'MA', 'city': 'Cambridge', 'address': '145 Broadway', 'postal_code': '02142', 'emails': ['ip-admin@akamai.com', 'abuse@akamai.com'], 'created': '2013-07-12', 'updated': '2013-08-09'}]",,,
