Amazon Data Services NoVa,Default,user_whois_filter=Amazon Data Services NoVa
Internet Assigned Numbers Authority (IANA),Default,user_whois_filter=Internet Assigned Numbers Authority (IANA)
CenturyLink Communications,Default,user_whois_filter=CenturyLink Communications
MCI Communications Services,Default,user_whois_filter=MCI Communications Services
Akamai Technologies,Default,user_whois_filter=Akamai Technologies
Delta Air Lines,Default,user_whois_filter=Delta Air Lines
Microsoft Corporation,Default,user_whois_filter=Microsoft Corporation
Amazon Technologies Inc.,Default,user_whois_filter=Amazon Technologies Inc.
Level 3 Parent,Default,user_whois_filter=Level 3 Parent
QUALYS,Default,user_whois_filter=QUALYS
